"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Don't miss tomorrow's noon book talk! Dr. Jeremy Brown of @NIH will discuss the history of the #flu virus, the Grea<U+2026> https://t.co/Z3pJsFqJPL",FALSE,13,,2019-03-04 20:45:08,TRUE,,"1102671338156769281",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","USNatArchives",7,FALSE,FALSE,,
"If you need me, I<U+2019>ll be in my bed until further notice.. #flu",FALSE,0,,2019-03-04 20:42:40,FALSE,,"1102670716145713153",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caitybaby09",0,FALSE,FALSE,,
"Bed-ridden #runescape is going to have to work for now. Best place to find the soup and meds I want right? #flu https://t.co/oYaZIFg2zc",FALSE,1,,2019-03-04 20:27:12,FALSE,,"1102666826431918080",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LegionxxElla",0,FALSE,FALSE,,
"What do you think? Useful?

#work #leavemealone #noflu #flu #sick #publichealth https://t.co/pByisrbqgq",FALSE,0,,2019-03-04 20:23:20,FALSE,,"1102665852485337090",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","threerivers_ph",0,FALSE,FALSE,,
"Nurse Warns of ""Biogenics [Biologics]"" &amp; Forced #Flu Shots Happening in US Hospitals

https://t.co/nUyQdOzJop<U+2026> https://t.co/FjuhfZZ9v1",FALSE,0,,2019-03-04 20:20:18,TRUE,,"1102665090564792323",,"<a href=""http://ViraBurnayeva.com"" rel=""nofollow"">Vaccines and Homeopathy News</a>","ViraBurnayeva",1,FALSE,FALSE,,
"The @CDCgov estimates that there have been between 13.2 million and 15.2 million #flu illnesses this season https://t.co/dJz5oqiVX4",FALSE,2,,2019-03-04 20:15:12,FALSE,,"1102663804725411844",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CintasClean",1,FALSE,FALSE,,
"Boiron is the #1 pharmacist-recommended brand for #homeopathic #flu products. https://t.co/ZOIYQA1hVA https://t.co/lgHrgaUkQT",FALSE,0,,2019-03-04 20:14:01,FALSE,,"1102663508167151618",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironUSA",0,FALSE,FALSE,,
"The last thing we want is more families to loss a loved one to #flu as we have. Yet the latest surveillance reports<U+2026> https://t.co/YgYaYKCgMC",FALSE,4,,2019-03-04 20:14:00,TRUE,,"1102663505189187585",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",1,FALSE,FALSE,,
"How to treat a cold or flu at home https://t.co/Gwa0wvIxtT @mnt_flu #flu https://t.co/hZ231br5lb",FALSE,0,,2019-03-04 20:10:15,FALSE,,"1102662561747648514",,"<a href=""http://www.medicalnewstoday.com"" rel=""nofollow"">MedicalNewsToday</a>","mnt_flu",0,FALSE,FALSE,,
"Baloxavir marboxil (Xofluza<U+2122>) is the newest flu antiviral FDA approved prescription for patients 12 yrs and older w<U+2026> https://t.co/S8hZ5Cp4Vy",FALSE,0,,2019-03-04 20:02:04,TRUE,,"1102660501132267520",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","viracoreurofins",0,FALSE,FALSE,,
"Some good news: people are more likely to wash their hands during #flu season.

https://t.co/UbkJShJUvX https://t.co/HwMfeHFtf2",FALSE,3,,2019-03-04 19:55:10,FALSE,,"1102658765504028672",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","janitor_mag",1,FALSE,FALSE,,
"#STUDY: #Homeopathy Is Useful for Prevention of #Flu &amp; Acute Respiratory Tract Infections

https://t.co/el9Ws5W3QQ https://t.co/0QJk5xazKG",FALSE,0,,2019-03-04 19:48:45,FALSE,,"1102657149140905990",,"<a href=""http://ViraBurnayeva.com"" rel=""nofollow"">Vaccines and Homeopathy News</a>","ViraBurnayeva",1,FALSE,FALSE,,
"Flu blamed for child's death in Galveston County. #Texas continues to be a hot spot for #flu cases and now another<U+2026> https://t.co/g8DGLBhLEk",FALSE,0,,2019-03-04 19:41:18,TRUE,,"1102655273091637251",,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","KCENNews",0,FALSE,FALSE,,
